Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
Respiratory therapists,104.00,1262.00,33.00,–,71.00,1242.00
Speech-language pathologists,132.00,1233.00,5.00,–,126.00,1229.00
Exercise physiologists,1.00,–,1.00,–,0.00,–
"Therapists, all other",137.00,1147.00,24.00,–,113.00,1132.00
Veterinarians,67.00,1797.00,18.00,–,48.00,–
Registered nurses,2615.00,1305.00,375.00,1437.00,2240.00,1274.00
Nurse anesthetists,25.00,–,11.00,–,14.00,–
Nurse midwives,6.00,–,0.00,–,6.00,–
Nurse practitioners,188.00,1955.00,28.00,–,160.00,1903.00
Acupuncturists,3.00,–,0.00,–,3.00,–
"Healthcare diagnosing or treating practitioners, all other",0.00,–,0.00,–,0.00,–
Clinical laboratory technologists and technicians,322.00,992.00,112.00,964.00,210.00,1001.00
Dental hygienists,97.00,1269.00,7.00,–,90.00,1264.00
Cardiovascular technologists and technicians,46.00,–,16.00,–,29.00,–
Diagnostic medical sonographers,61.00,1462.00,15.00,–,46.00,–
Radiologic technologists and technicians,201.00,1167.00,64.00,1280.00,137.00,1140.00
Magnetic resonance imaging technologists,27.00,–,13.00,–,14.00,–
Nuclear medicine technologists and medical dosimetrists,31.00,–,11.00,–,20.00,–
Emergency medical technicians,110.00,883.00,79.00,910.00,31.00,–
Paramedics,97.00,1288.00,67.00,1352.00,30.00,–
Pharmacy technicians,268.00,800.00,61.00,822.00,207.00,796.00
Psychiatric technicians,54.00,749.00,12.00,–,41.00,–
Surgical technologists,109.00,1036.00,31.00,–,78.00,1006.00
Veterinary technologists and technicians,106.00,779.00,9.00,–,97.00,765.00
Dietetic technicians and ophthalmic medical technicians,37.00,–,7.00,–,31.00,–
Licensed practical and licensed vocational nurses,444.00,921.00,45.00,–,399.00,918.00
Medical records specialists,181.00,894.00,16.00,–,165.00,889.00
"Opticians, dispensing",42.00,–,12.00,–,30.00,–
Miscellaneous health technologists and technicians,150.00,891.00,54.00,1003.00,97.00,835.00
Other healthcare practitioners and technical occupations,91.00,1362.00,31.00,–,61.00,1327.00
Service occupations,14630.00,644.00,7000.00,723.00,7630.00,598.00
Healthcare support occupations,3269.00,637.00,527.00,723.00,2742.00,624.00
Home health aides,314.00,587.00,49.00,–,264.00,581.00
Personal care aides,848.00,611.00,192.00,666.00,656.00,598.00
Nursing assistants,916.00,626.00,110.00,740.00,805.00,615.00
Orderlies and psychiatric aides,43.00,–,18.00,–,25.00,–
Occupational therapy assistants and aides,29.00,–,5.00,–,24.00,–
Physical therapist assistants and aides,37.00,–,9.00,–,28.00,–
Massage therapists,42.00,–,7.00,–,35.00,–
Dental assistants,219.00,665.00,19.00,–,200.00,653.00
Medical assistants,482.00,676.00,51.00,980.00,430.00,668.00
Medical transcriptionists,26.00,–,8.00,–,19.00,–
Pharmacy aides,28.00,–,9.00,–,19.00,–
Veterinary assistants and laboratory animal caretakers,47.00,–,7.00,–,40.00,–
Phlebotomists,109.00,681.00,10.00,–,99.00,666.00
Other healthcare support workers,128.00,768.00,32.00,–,96.00,656.00
Protective service occupations,2608.00,998.00,2031.00,1067.00,577.00,814.00
First-line supervisors of correctional officers,36.00,–,25.00,–,11.00,–
First-line supervisors of police and detectives,89.00,1360.00,74.00,1413.00,15.00,–
First-line supervisors of firefighting and prevention workers,46.00,–,43.00,–,4.00,–
First-line supervisors of security workers,66.00,1147.00,52.00,1146.00,14.00,–
"First-line supervisors of protective service workers, all other",7.00,–,2.00,–,5.00,–
Firefighters,278.00,1291.00,261.00,1320.00,17.00,–
Fire inspectors,24.00,–,21.00,–,3.00,–
