HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M) ,Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M)
166,Benin,0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6,0.491,0.558,61.4,58.2,9.9,11.6,3.3,5.4,"2,998","3,819"
166,Uganda,0.530,131,375,107.9,33.8,29.3,36.3,64.2,71.3,0.505,0.545,64.9,60.4,10.2,10.1,4.9,6.7,"1,877","2,492"
168,Lesotho,0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3,0.511,0.519,55.9,50.4,12.4,11.7,6.6,6.0,"2,107","3,310"
169,Malawi,0.554,142,349,117.9,22.9,21.3,28.4,71.6,80.0,0.502,0.519,66.5,59.5,12.8,12.5,4.1,4.7,"1,232","1,713"
170,Senegal,0.530,131,315,66.5,43.0,11.1,30.9,33.5,56.7,0.475,0.543,69.3,64.8,9.5,8.5,1.6,4.5,"2,258","4,468"
171,Djibouti,..,..,248,22.7,26.2,..,..,17.2,44.1,..,..,65.0,59.7,7.5,7.4,..,..,"2,179","7,911"
172,Sudan,0.553,141,295,79.9,31.0,16.4,20.1,28.7,67.8,0.466,0.535,67.9,62.7,7.7,8.1,3.4,4.2,"1,833","5,320"
173,Madagascar,0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6,0.490,0.512,66.9,62.2,10.2,10.1,4.9,5.3,"1,284","1,682"
174,Gambia,0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3,0.481,0.520,63.5,60.7,10.3,8.5,3.8,5.6,"1,649","2,701"
175,Ethiopia,0.520,129,401,69.2,39.5,9.1,20.1,72.3,84.7,0.478,0.519,68.3,61.9,9.8,9.6,2.2,4.2,"1,944","2,774"
176,Eritrea,..,..,480,64.4,22.0,..,..,70.2,83.6,..,..,68.7,64.3,7.5,8.6,..,..,"1,387","2,079"
177,Guinea-Bissau,0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4,0.448,0.517,61.8,57.4,10.0,11.2,2.4,4.9,"1,561","2,264"
178,Liberia,0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7,0.447,0.513,62.1,59.4,10.1,10.8,3.9,6.3,"1,062","1,518"
179,Congo (Democratic Republic of the),0.601,151,473,109.0,14.3,40.3,69.1,61.2,69.1,0.449,0.507,61.5,57.0,9.6,10.1,5.6,8.5,896,"1,259"
180,Afghanistan,0.678,167,638,82.6,27.2,6.4,14.9,14.8,66.5,0.365,0.536,65.3,58.9,7.7,12.7,2.3,3.4,533,"3,089"
181,Sierra Leone,0.633,162,"1,120",100.9,12.3,34.7,51.5,56.1,55.9,0.452,0.506,61.4,58.8,9.6,9.9,3.5,5.8,"1,453","1,789"
182,Guinea,0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2,0.426,0.501,60.1,57.6,8.6,11.0,1.3,3.2,"2,320","2,645"
183,Yemen,0.820,170,164,54.4,0.3,22.4,37.5,6.0,67.6,0.263,0.529,67.1,60.6,7.7,10.5,2.9,5.1,176,"2,428"
184,Burkina Faso,0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7,0.425,0.471,61.0,57.5,9.1,9.2,1.6,2.7,"1,659","2,580"
185,Mozambique,0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9,0.428,0.464,62.4,56.2,9.8,10.7,2.4,4.1,"1,096","1,304"
186,Mali,0.613,155,562,150.1,27.3,8.0,15.5,57.7,79.7,0.399,0.450,60.3,57.6,6.8,7.9,2.4,2.2,"1,483","2,770"
187,Burundi,0.505,127,548,53.6,38.9,7.8,13.0,79.0,77.4,0.412,0.441,63.6,59.7,10.9,10.5,2.5,3.9,668,797
188,Central African Republic,0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5,0.359,0.443,56.3,51.6,6.7,9.4,3.1,5.6,770,"1,162"
189,Niger,0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3,0.364,0.436,62.8,60.4,6.3,7.6,1.7,2.8,936,"1,535"
190,Chad,0.652,165,"1,140",138.3,32.3,7.7,24.4,46.9,69.9,0.339,0.441,54.3,50.8,6.6,9.5,1.5,3.7,965,"1,760"
191,South Sudan,0.587,150,"1,150",99.2,32.3,26.5,36.4,70.4,73.6,0.348,0.413,56.5,53.4,4.5,6.6,4.8,6.2,664,873
,Korea (Democratic People's Rep. of),..,..,89,2.3,17.6,..,..,77.2,86.1,..,..,75.7,70.8,10.4,11.1,..,..,..,..
,Monaco,..,..,..,7.2,33.3,..,..,..,..,..,..,87.7,84.3,..,..,..,..,..,..
,Nauru,..,..,..,72.5,10.5,..,..,..,..,..,..,67.3,60.3,13.1,10.4,..,..,..,..
,Somalia,..,..,829,118.0,24.6,..,..,20.9,47.0,..,..,57.4,53.2,..,..,..,..,545,"1,489"
,Very high human development,0.155,—,15,14.1,29.1,87.0,89.4,52.6,68.4,0.889,0.901,81.6,75.6,16.9,16.1,12.2,12.4,"33,849","53,887"
,High human development,0.329,—,62,28.0,25.8,72.7,78.0,53.6,73.5,0.742,0.763,77.7,71.9,14.6,13.8,8.1,8.5,"11,187","19,089"
,Medium human development,0.494,—,175,38.1,21.8,44.0,54.2,28.8,71.3,0.586,0.666,69.4,65.6,12.0,11.9,6.5,7.4,"2,912","9,668"
,Low human development,0.577,—,499,89.5,24.3,22.8,34.1,49.3,73.2,0.477,0.552,63.4,59.3,9.0,9.9,4.1,5.7,"1,907","4,107"
,Developing countries,0.487,—,247,46.5,23.9,56.9,64.7,44.4,72.8,0.660,0.704,72.3,67.6,12.3,12.3,7.2,7.9,"7,097","14,230"
,Arab States,0.536,—,150,45.3,18.3,53.8,60.4,19.3,69.5,0.645,0.741,73.1,68.9,12.2,12.5,7.6,8.6,"4,745","21,667"
,East Asia and the Pacific,0.337,—,82,21.6,20.9,71.4,78.2,59.7,75.2,0.740,0.756,78.5,72.9,14.2,13.4,7.6,8.1,"12,357","18,711"
,Europe and Central Asia,0.227,—,20,20.1,26.1,83.4,89.7,42.9,67.0,0.778,0.810,76.4,69.4,15.3,15.6,10.4,10.8,"13,162","25,834"
,Latin America and the Caribbean,0.381,—,75,53.4,33.2,63.2,63.2,48.6,72.7,0.747,0.757,75.6,68.8,15.2,14.4,9.0,9.0,"10,667","18,486"
,South Asia,0.508,—,153,28.9,17.6,42.2,52.8,21.6,71.6,0.568,0.667,69.8,66.1,11.5,11.6,6.3,7.3,"2,352","10,426"
,Sub-Saharan Africa,0.569,—,536,100.9,25.7,31.1,44.3,62.1,72.3,0.519,0.572,62.1,58.2,10.0,10.6,5.1,6.9,"2,970","4,429"
,Least developed countries,0.562,—,417,93.7,24.7,27.5,38.7,54.6,75.8,0.508,0.568,66.6,61.9,10.0,10.4,4.5,6.0,"1,993","3,777"
,Small island developing states,0.461,—,212,50.9,26.7,62.1,65.7,50.4,68.7,0.715,0.743,73.1,67.8,12.5,12.4,8.9,9.4,"12,634","20,928"
,Organisation for Economic Co-operation and Development,0.185,—,18,19.2,32.4,86.7,89.1,51.8,67.8,0.891,0.905,82.0,76.1,16.8,16.1,12.2,12.4,"35,117","55,363"
,World,0.465,—,225,42.5,25.9,64.2,70.3,46.2,71.7,0.715,0.747,74.0,68.9,12.9,12.7,8.4,8.9,"12,241","21,210"
