HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M) ,Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M)
11,Finland,0.033,6,3,4.2,46.0,99.0,98.5,56.5,64.0,0.934,0.945,84.7,79.3,19.9,18.3,13.0,12.7,"41,698","57,394"
12,Singapore,0.040,7,8,2.6,29.8,80.5,85.9,59.4,76.8,0.935,0.943,84.9,80.6,16.7,16.4,11.6,12.3,"75,094","105,348"
13,Belgium,0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8,0.925,0.946,84.3,79.4,20.7,18.5,12.3,12.4,"42,533","62,295"
13,New Zealand,0.088,25,9,12.6,49.2,82.0,81.8,65.1,75.3,0.925,0.948,84.3,80.6,20.8,19.7,12.9,13.0,"36,864","51,377"
15,Canada,0.069,17,10,7.0,34.4,100.0,100.0,60.8,69.7,0.929,0.941,84.7,80.6,16.9,15.9,13.9,13.7,"38,652","55,065"
16,Liechtenstein,..,..,..,3.0,28.0,..,..,..,..,..,..,85.4,81.1,14.2,16.2,..,..,..,..
17,Luxembourg,0.044,9,5,4.3,35.0,100.0,100.0,58.5,65.5,0.925,0.931,84.8,80.4,14.4,14.4,13.0,13.0,"70,117","98,991"
18,United Kingdom,0.098,27,7,10.5,31.1,99.8,99.8,58.0,67.1,0.922,0.934,82.8,78.7,17.8,16.8,13.4,13.4,"37,374","53,265"
19,Japan,0.083,22,5,2.9,14.2,95.9,92.7,53.3,71.0,0.908,0.936,87.7,81.8,15.2,15.2,13.3,13.4,"30,621","54,597"
19,Korea (Republic of),0.067,15,11,2.2,19.0,83.1,93.1,53.4,72.4,0.894,0.947,86.8,80.4,16.1,16.9,11.9,13.2,"29,300","59,737"
21,United States,0.179,44,19,16.0,27.0,96.5,96.4,55.2,66.4,0.920,0.919,80.2,74.3,16.9,15.6,13.7,13.6,"51,539","78,238"
22,Israel,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1,0.915,0.922,84.3,80.2,16.7,15.4,13.4,13.3,"34,960","48,126"
23,Malta,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4,0.907,0.925,86.1,81.4,17.4,16.3,12.0,12.4,"30,282","46,821"
23,Slovenia,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2,0.915,0.916,83.8,77.6,18.4,16.9,12.8,12.8,"33,038","46,386"
25,Austria,0.053,12,5,5.5,39.3,100.0,100.0,55.5,66.3,0.906,0.924,84.1,79.0,16.4,15.6,12.0,12.6,"43,414","64,148"
26,United Arab Emirates,0.049,11,3,3.1,50.0,82.0,85.6,46.5,88.0,0.877,0.921,80.9,77.2,16.5,15.2,12.5,12.8,"28,921","77,318"
27,Spain,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4,0.896,0.909,85.8,80.2,18.4,17.4,10.5,10.7,"31,213","45,784"
28,France,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7,0.898,0.907,85.5,79.4,16.2,15.5,11.4,11.8,"38,403","53,988"
29,Cyprus,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8,0.882,0.907,83.2,79.2,15.7,15.6,12.4,12.5,"30,617","45,735"
30,Italy,0.056,13,2,4.0,35.3,78.6,86.1,39.9,57.6,0.879,0.906,85.1,80.5,16.6,15.9,10.6,10.9,"31,100","55,187"
31,Estonia,0.100,28,9,8.8,25.7,97.6,98.1,57.5,70.2,0.898,0.879,81.2,72.8,16.8,15.1,13.8,13.3,"30,995","45,866"
