Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
,32.0,Czechia,0.12,34.0,3.0,9.7,22.1,99.8,99.8,51.7,68.1,0.884,0.893,80.9,74.7,16.8,15.7,12.7,13.0,30455.0,47289.0,,,,,,,,,,,,,,,,,,
GRC,33.0,Greece,0.119,32.0,3.0,8.5,21.7,69.9,77.8,43.3,58.1,0.872,0.9,82.9,77.5,20.1,20.0,11.1,11.7,22890.0,35368.0,18.125,7.01389,1.0,45.9,17.2,1,100.0,,52.2794919,26.70999908,,,100.0,1,86.4,84.5,21.5,Europe
POL,34.0,Poland,0.109,31.0,2.0,9.7,27.5,86.5,90.7,49.2,65.5,0.878,0.872,80.4,72.6,16.8,15.3,13.3,13.0,25261.0,41336.0,18.2625,9.92917,1.0,37.0,27.8,1,93.75,,55.3899521,22.97999954,,,100.0,1,85.4,88.0,11.7,Europe
BHR,35.0,Bahrain,0.181,46.0,14.0,8.7,18.8,79.9,83.1,42.4,83.5,0.829,0.894,80.0,77.8,17.0,15.9,10.8,11.2,16786.0,53359.0,,,1.0,,,1,65.0,,,,1799.0,6574.0,40.0,0,,,,Arab States
LTU,35.0,Lithuania,0.105,30.0,8.0,10.4,27.7,95.5,97.9,57.3,67.9,0.888,0.862,78.8,68.8,16.7,15.9,13.6,13.4,33891.0,42500.0,,,1.0,43.1,30.7,1,93.75,,61.3698877,21.61000061,,,100.0,1,85.1,81.0,16.3,Europe
SAU,35.0,Saudi Arabia,0.247,59.0,17.0,11.9,19.9,71.3,80.9,30.9,80.1,0.826,0.901,78.8,75.6,16.2,16.1,10.7,11.7,20678.0,64708.0,,,1.0,,,1,80.0,,40.660445,9.729999542,2435.0,14242.0,40.0,1,,,,Middle  East
PRT,38.0,Portugal,0.067,15.0,8.0,7.4,40.0,59.7,61.9,54.0,62.2,0.863,0.867,84.1,77.8,17.0,16.7,9.6,9.5,28713.0,38127.0,17.81135,10.2414,1.0,37.8,14.0,1,100.0,,55.44866,30.09000015,,,100.0,1,94.2,90.6,26.6,Europe
LVA,39.0,Latvia,0.151,40.0,19.0,11.2,29.0,99.7,99.3,54.5,66.8,0.873,0.852,77.8,69.2,16.8,15.6,13.6,12.9,27882.0,38506.0,,,1.0,46.6,32.6,1,100.0,,61.0377227,18.71999931,3197.0,6187.0,100.0,1,94.1,92.5,,Europe
AND,40.0,Andorra,,,,5.9,46.4,70.7,72.4,,,,,84.3,77.2,,,10.5,10.6,,,,,,,,,,,,,,,,,,,,Europe
HRV,40.0,Croatia,0.093,26.0,8.0,8.6,31.1,97.0,100.0,45.9,58.8,0.855,0.859,81.1,74.2,15.9,14.4,11.9,12.5,23888.0,36713.0,,,1.0,31.7,27.0,1,93.75,,51.0085113,26.81999969,,,100.0,1,,,,Europe
